ticker,name,company_number,isin,lei,url,file_path,fiscal_year,source_zip,inner_name
ASPL,ASEANA PROPERTIES LIMITED,,,2138006H7PF4CNUEVT05,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144632/NI-000144632_2138006H7PF4CNUEVT05-2025-12-31.zip,,2025,fca-nsm,NI-000144632
CINH,CINDRIGO HOLDINGS LIMITED,,,213800T424TYEZ5PLE75,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144440/NI-000144440_213800T424TYEZ5PLE75-2025-12-31.zip,,2025,fca-nsm,NI-000144440
AFP,AFRICAN PIONEER PLC,,,213800QQF8O18CMJPW43,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144409/NI-000144409_213800QQF8O18CMJPW43-2025-12-31.zip,,2025,fca-nsm,NI-000144409
KEN,KENDRICK RESOURCES PLC,,,213800U66STYS4VQZH68,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144405/NI-000144405_213800U66STYS4VQZH68-2025-12-29.zip,,2025,fca-nsm,NI-000144405
EVOK,EVOKE PLC,,,213800H84UJQYSVF9750,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144399/NI-000144399_213800H84UJQYSVF9750-2025-12-31.zip,,2025,fca-nsm,NI-000144399
SPI,SPIRE HEALTHCARE GROUP PLC,,,213800IBJPW3SE2RA350,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144387/NI-000144387_213800IBJPW3SE2RA350-2025-12-31.zip,,2025,fca-nsm,NI-000144387
DGI9,DIGITAL 9 INFRASTRUCTURE PLC,,,213800OQLX64UNS38U92,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144379/NI-000144379_213800OQLX64UNS38U92-2025-12-31.zip,,2025,fca-nsm,NI-000144379
XAR,XAAR PLC,,,213800MXEC3KAOBBPO57,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144346/NI-000144346_213800MXEC3KAOBBPO57-2025-12-31.zip,,2025,fca-nsm,NI-000144346
AEET,AQUILA ENERGY EFFICIENCY TRUST PLC,,,213800AJ3TY3OJCQQC53,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144341/NI-000144341_213800AJ3TY3OJCQQC53-2025-12-31.zip,,2025,fca-nsm,NI-000144341
71HT,MHP SE,,,213800D7DXFXGA292757,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000144288/NI-000144288_213800D7DXFXGA292757-2025-12-31.zip,,2025,fca-nsm,NI-000144288
