Country,Code,Name,BSNS Year,Updated At,Liabilities/Equity %,IB Debt/Equity %,BPS,Net Cash / Share,Sales Growth 5Y %,Op Income Growth 5Y %,NI Growth 5Y %,Max PER Allowed,Price Min by PBR/NCSR,Price Max by PBR/NCSR,PBR Price Min,PBR Price Max,NCSR Price Min,NCSR Price Max,Needs Quote PER/PBR/Price
JP,7804,"B&P Co.,Ltd.",2025,2026-05-13T02:24:04.639033+00:00,23.228346456692915,23.228346456692915,1637.4419804022698,1057.2460030943785,27.1210407239819,27.454545454545453,25.575447570332482,15.0,163.74419804022698,2456.162970603405,163.74419804022698,2456.162970603405,0.002114492006188757,2643.115007735946,True
JP,6146,DISCO CORPORATION,2026,2026-05-12T15:22:24.516081+00:00,8.794665566678913,8.794665566678913,4773.836508867972,822.7188164484057,39.835237775987935,37.32323649014422,47.13021820544732,15.0,477.3836508867972,2056.797041121014,477.3836508867972,7160.754763301957,0.0016454376328968115,2056.797041121014,True
JP,248A,KIDS STAR Inc.,2025,2026-05-11T15:37:26.661496+00:00,16.94877505567929,16.94877505567929,908.9859530722821,728.8820470132451,90.90128755364805,46.74556213017751,50.96153846153846,15.0,90.89859530722822,1363.478929608423,90.89859530722822,1363.478929608423,0.00145776409402649,1822.2051175331128,True
JP,6278,UNION TOOL CO.,2025,2026-05-12T16:21:41.737990+00:00,1.0384068278908124,1.0384068278908124,4044.3882678940615,415.5207281191808,17.306590855081386,26.897354497354496,15.729699143266473,15.0,404.43882678940616,1038.801820297952,404.43882678940616,6066.582401841092,0.0008310414562383616,1038.801820297952,True
JP,3913,"GreenBee,Inc.",2025,2026-05-12T01:59:55.189725+00:00,41.71761280931586,41.71761280931586,591.8618566662058,421.54189816747896,7.6923076923076925,230.0,222.22222222222223,7.6923076923076925,59.18618566662058,887.7927849993086,59.18618566662058,887.7927849993086,0.0008430837963349579,1053.8547454186974,True
JP,7833,IFIS JAPAN LTD.,2025,2026-05-11T23:39:23.672016+00:00,19.116050987560022,19.116050987560022,575.5075609756098,327.3658536585366,7.524271844660194,7.230769230769231,7.999999999999999,7.230769230769231,57.55075609756098,818.4146341463415,57.55075609756098,863.2613414634146,0.0006547317073170732,818.4146341463415,True
JP,6149,"Odawara Engineering Co.,Ltd.",2025,2026-05-12T01:40:27.022293+00:00,15.286790403180736,15.286790403180736,2898.209391334482,297.00461102828565,16.968888092393324,45.94732088905996,31.154722980771674,15.0,289.8209391334482,742.5115275707141,289.8209391334482,4347.314087001723,0.0005940092220565712,742.5115275707141,True
JP,3925,Double Standard Inc.,2025,2026-05-11T15:37:13.974705+00:00,0.34816193337103347,0.34816193337103347,448.17277132706853,125.24467384597648,17.93924251537173,21.431436314363143,25.633808199121524,15.0,44.817277132706854,672.2591569906028,44.817277132706854,672.2591569906028,0.00025048934769195297,313.1116846149412,True
JP,4493,"Cyber Security Cloud,Inc.",2025,2026-05-11T15:37:29.806216+00:00,13.560583047742373,13.560583047742373,412.65925150756774,92.00663377094749,36.52226836778084,31.590106007067136,33.77308707124011,15.0,41.26592515075678,618.9888772613516,41.26592515075678,618.9888772613516,0.00018401326754189498,230.01658442736872,True
JP,6418,"JAPAN CASH MACHINE CO.,LTD.",2025,2026-05-12T04:04:37.482618+00:00,19.635877997080072,19.635877997080072,1178.1050987241253,219.34328358208955,35.23844079387719,24.905925266903914,23.72688477951636,15.0,117.81050987241254,548.3582089552239,117.81050987241254,1767.157648086188,0.00043868656716417913,548.3582089552239,True
